lng,lat,UNIQUE_ID,Sighting Order,RECORD_ID,STATUS,SOURCE,STARTDATE,SRC_GROUP,LBP_USAGE,LBPBUFF_ID,RECORDTYPE,XCOORD,YCOORD,Method,species,common name
145.852567,-37.91141703,698,#84,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT344.2,New (verified) record post-February 2014,145.852567,-37.911417,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.856833,-37.81088296,627,#56,8436805,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),28/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT341.1,New (verified) record post-February 2014,145.856833,-37.810883,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8578,-37.78361702,581,#24,8436768,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),16/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT319.3,New (verified) record post-February 2014,145.8578,-37.783617,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.859183,-37.78514998,580,#23,8436767,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),16/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT319.2,New (verified) record post-February 2014,145.859183,-37.78515,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.86125,-37.78705004,579,#22,8436766,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),16/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT319.1,New (verified) record post-February 2014,145.86125,-37.78705,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.864567,-37.37995,645,#74,8491860,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),31/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT348.1,New (verified) record post-February 2014,145.864567,-37.37995,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8659361,-37.81353157,834,#96,8502558,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),20/2/17,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT390.1,New (verified) record post-February 2014,145.865936,-37.813532,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.86665,-37.80748304,628,#57,8436806,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),28/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT41.2,New (verified) record post-February 2014,145.86665,-37.807483,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.8722165,-37.81216786,840,#97,8502559,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),22/2/17,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT262.2,New (verified) record post-February 2014,145.872217,-37.812168,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.87325,-37.79569998,692,#78,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT370.1,New (verified) record post-February 2014,145.87325,-37.7957,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
